,Title,genres,poster_path,Score,Fantasy,Adventure,Documentary,Thriller,Drama,War,Romance,Family,Animation,Crime,Mystery,Western,TV Movie,Comedy,Science Fiction,Action,Horror,Music,History
639,Jai Ho,"Action,Drama",/dZ4x35tDXd6iXvrpuXPP4psERG.jpg,0.19100316528660075,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1529,Money Plane,"Action,Crime,Thriller",/6CoRTJTmijhBLJTUNoVSUNxZMEI.jpg,0.1909825603811499,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3147,Grace of Monaco,"Romance,Drama",/e1j47IhVYXY3iphLbi78BSc4J8i.jpg,0.1909776153894377,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2219,The Lovers,"Action,Adventure,Science Fiction,Romance",/6esL8UH2sXXqbfbaV6bFEUBCDOr.jpg,0.19096485959268955,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1988,The Cleanse,"Drama,Comedy,Fantasy,Horror",/wAmCm0pcPFIgzb7FGwfQVVTy2xt.jpg,0.1909647894365921,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2859,Mercenaries,Action,/eba3J71GIIXncTVzS3fMqjdMzfz.jpg,0.19094873577606647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2427,Elvis & Nixon,"Drama,Comedy,History",/e4BoHyGQtdTK1ysypLnFlJcnhW5.jpg,0.1909466168005171,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2273,Armed Response,"Action,Horror,Thriller",/ozhEmqMpJMPg6Rz9lJ0AFhZaGMI.jpg,0.19085840747554783,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1936,Death Wish,"Action,Crime,Drama,Thriller",/g0eEEZAqMf98ULQnoiORuazjOpn.jpg,0.19081576270693396,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3091,Jobs,"Drama,History",/qkHr510BpWnibuIWnjycvvI29jL.jpg,0.19078944614360302,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
