,Title,Director,Cast,id,genres,imdb_id,original_language,overview,popularity,poster_path,release_date,runtime,title,vote_average,vote_count
0,Attack: Part 1,Lakshya Raj Anand,"John Abraham,Jacqueline Fernandez,Rakul Preet",799155.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",tt7529298,hi,"With the Parliament under siege, India’s first super soldier Arjun Shergill is tasked to get hold of the terrorists in the nick of time, save the Prime Minister from their clutches and stop a dirty bomb from exploding and destroying Delhi. Will Arjun succeed in his mission?",7.54,/5jGKbYuZtdxSNOocI6ZziQeiY4n.jpg,2022-04-01,123,Attack,7.2,26
1,Kaun Pravin Tambe?,Jayprad Desai,Shreyas Talpade,946652.0,"[{'id': 18, 'name': 'Drama'}]",tt18568902,hi,Mumbai-born leg-spinner Pravin Tambe made his debut in professional cricket at the age of 41 in the IPL for Rajasthan Royals in 2013 not having played any international or even first-class cricket before that. The story traces the extraordinary journey of Tambe as he became the oldest debutant - at an age when most cricketers have retired or are on the verge of retirement - a modern-day fable of an underdog who fought against his destiny.,3.118,/w6t4nzjbmlGDAYnNvUeo6zxMySC.jpg,2022-04-01,133,Kaun Pravin Tambe?,7.3,10
2,Cobalt Blue,Sachin Kundalkar,"Prateik Babbar,Neelay Mehendale,Anjali Sivaraman,Neil Bhoopalam,Poornima Indrajith",897097.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",tt15314640,hi,"When an aspiring author and his free-spirited sister both fall for the enigmatic paying guest at their home, ensuing events rock their traditional family.",5.029,/59CjIDHHvNyiinRwaSIouWnPNrY.jpg,2022-04-02,112,Cobalt Blue,6.4,18
3,Dasvi,Tushar Jalota,"Abhishek Bachchan,Yami Gautam,Nimrat Kaur",799713.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",tt14107554,hi,"Jailed under a tough cop, an uneducated politician decides to spend his time studying for high school while his scheming wife has plans of her own.",4.485,/zL40soH0AYoBD5BVNu9U2B98ejD.jpg,2022-04-07,127,Dasvi,5.4,18
4,Hurdang,Nikhil Nagesh Bhat,"Sunny Kaushal,Nushrratt Bharuccha,Vijay Varma",809309.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt10919304,hi,"In the 1990s' Allahabad, a brash college student gets drawn into an uproar surrounding a critical bill that will affect India's education system.",3.69,/vcsr4oajxfEMYpjxfgrVfJCbczk.jpg,2022-04-08,122,Hurdang,5.0,2
5,Jersey,Gowtam Tinnanuri,"Shahid Kapoor,Mrunal Thakur,Pankaj Kapur",679018.0,"[{'id': 18, 'name': 'Drama'}]",tt5301942,hi,"An ex-cricketer struggling to make ends meet, wants to fulfill his child's wish of getting an Indian jersey but in the process comes face to face with his heroic past and is forced to decide if he will rise to the occasion and become a symbol of hope or continue to live a life as a loser?",9.077,/ur2D5MXrwBBymQ7DjG0cOFen2yh.jpg,2022-04-22,175,Jersey,7.0,31
6,Operation Romeo,Shashant Shah,"Sidhant Gupta,Vedika Pinto,Sharad Kelkar,Bhumika Chawla,Kishor Kadam",957136.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt18923048,hi,Aditya Sharma and Neha Kasliwal are in a relationship which finds itself challenged one night when they’re out on a date and get harassed in the dead of the night by two men posing as policemen. Will the night change the course of their relationship?,1.853,/qTyR9BDP4OCRMYUhHBYszRpFXE1.jpg,2022-04-22,135,Operation Romeo,6.2,5
7,Runway 34,Ajay Devgn,"Amitabh Bachchan,Ajay Devgn,Rakul Preet,Boman Irani",766116.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",tt11460992,hi,"A flying prodigy, Captain Vikrant Khanna's flight takes a stirring and mysterious trajectory after take-off from an international destination. Concurrently, it follows the tenacious Narayan Vedant in his pursuit to uncover the truth.",7.258,/8RlQEuxeRqHh7sWTRswdUC9kP3H.jpg,2022-04-29,141,Runway 34,6.5,33
8,Heropanti 2,Ahmed Khan,"Tiger Shroff,Nawazuddin Siddiqui,Tara Sutaria",678835.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt11873440,hi,"Babloo is a computer genius and Inaaya is a self-made billionaire. The two fall in love but due to unforeseen circumstances they suddenly part ways as the cybercrime lord, Laila wants him dead.",5.625,/cfKTqIwMRYblzesiidC91E1g5Cf.jpg,2022-04-29,142,Heropanti 2,4.8,12
9,Mere Desh Ki Dharti,Faraz Haider,"Anupriya Goenka,Anant Vidhaat,Brijendra Kala",913532.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt12484724,hi,Encompasses the journey of two engineering friends who go on a new adventure in the farming industry.,2.841,/53VStqbu6cS6HlfswFsSe4WMOm1.jpg,2022-05-06,142,Mere Desh Ki Dharti,7.2,3
10,Thar,Raj Singh Chaudhary,"Anil Kapoor,Harshvardhan Kapoor,Fatima Sana",941596.0,"[{'id': 37, 'name': 'Western'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",tt14479746,hi,A mysterious stranger arrives in a village situated in the Thar desert and crosses paths with a veteran cop investigating a case of brutal killings.,4.267,/2PK1WRr8dOF7FG5G4VCal4GcnPT.jpg,2022-05-06,108,Thar,6.4,22
11,Jayeshbhai Jordaar,Divyang Thakkar,"Ranveer Singh,Shalini Pandey,Boman Irani,Ratna Pathak",678999.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt10393870,hi,"A non-confrontational Jayesh decides to defy his patriarchal family and flee with his pregnant wife Mudra to save their unborn daughter from foeticide. A screwball, hilarious chase begins as Jayesh's father assembles all his might to nab them. Will this unlikely hero manage to create a safe and equal haven for his daughter?",7.13,/dv93VspYwwNPbvdB0AcddhiDrGU.jpg,2022-05-13,124,Jayeshbhai Jordaar,5.9,16
12,Bhool Bhulaiyaa 2,Anees Bazmee,"Kartik Aaryan,Kiara Advani",695962.0,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",tt6455162,hi,"When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit who has been trapped for 18 years.",8.781,/fw0oMHiMt9qOuKEJEmzFiCNAnXc.jpg,2022-05-20,142,Bhool Bhulaiyaa 2,6.2,52
13,Dhaakad,Razy Ghai,"Kangana Ranaut,Arjun Rampal,Divya Dutta",712863.0,"[{'id': 28, 'name': 'Action'}]",tt10598156,hi,"Special Agent Agni is tasked to find information and eventually, eliminate Rudraveer, an international human trafficker and a coal mafioso. Things turn personal when Agni discovers a truth that connects her to Rudraveer.",6.605,/3YWiiujx2WWyM0caULLHca3j6Gu.jpg,2022-05-20,131,Dhaakad,5.0,9
14,Anek,Anubhav Sinha,Ayushmann Khurrana,888268.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",tt13919802,hi,"Amid the turmoil in northeast India, an undercover agent tasked with peace negotiations crosses paths with a tenacious boxer fighting for her dreams.",5.415,/fIHF8WrZpoomx0QSVTe74NeYGUD.jpg,2022-05-27,146,Anek,6.2,18
15,Samrat Prithviraj,Chandraprakash Dwivedi,"Akshay Kumar,Sanjay Dutt,Sonu Sood,Manushi Chhillar",611598.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",tt9637132,hi,"The true story of legendary Hindu warrior king ""Prithviraj Chauhan"" including his early military successes, love story with Sanyogita & clashes with Muhammad of Ghor, a ruler of the Ghurid dynasty who led the foundation of Muslim rule in the Indian subcontinent.",10.579,/itjop20yizH1cwB44tIo5JivPSq.jpg,2022-06-03,136,Samrat Prithviraj,7.2,13
16,Major[a],Sashi Kiran Tikka,"Adivi Sesh,Sobhita Dhulipala,Saiee Manjrekar,Prakash Raj",84321.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0172761,hi,Major Jasbir Singh Rana (Amitabh Bachchan) trains cadets to become officers in the national defence academy. A spoilt brat Virendra Pratap Singh (Ajay Devgan) joins the academy. Little does he know the major is a strict disciplinarian who takes a row to straighten him and make him a soldier. Thus starts a war between the two. In the meantime Virendra falls in love with a beautiful girl NISHA (Sonali Bendre) whose marriage was fixed by his father to a wealthy contractor's son. But the girl loves Virendra against her father's will and so starts the fight between Virendra and the girl's father supported by the contractor and his son with gang. Majorsaab helps Virendra to get his love and to change Virendra from spoilt brat to a good and brave soldier.,3.683,/6mS6zYGLA8ObDDRtP5HuI91QWc9.jpg,1998-06-26,165,Major Saab,5.7,11
17,Janhit Mein Jaari,Jai Basantu Singh,Nushrratt Bharuccha,768466.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt13534808,hi,"A small-town girl from MP, Manokamna, gets a decent-paying job. But the work requires her to sell condoms. Will she be able to voice her beliefs while balancing her responsibilities and society?",2.397,/foCjFsf4D9M4sy2CcoxnD9RHAOq.jpg,2022-06-10,146,Janhit Mein Jaari,6.8,6
18,Ardh,Palash Muchhal,"Rajpal Yadav,Rubina Dilaik",945324.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",tt20840000,hi,"Shiva struggles to become a mainstream actor in Mumbai despite being a theatre actor. With the help of his wife Madhu, he disguises himself as a transgender and begs for money to survive.",1.52,/oLSgNq1rZw9pBxxfNV8fi5lK290.jpg,2022-06-10,84,Ardh,8.0,1
19,Nikamma,Sabbir Khan,"Abhimanyu Dassani,Shirley Setia,Shilpa Shetty",693841.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",tt10687220,hi,"Nikamma is an action-comedy, which is a remake of 2017 Telugu film film Middle Class Abbayi.",2.52,/gm19HSx2qZI67l9qhcNuCjGSznX.jpg,2022-06-17,147,Nikamma,3.8,4
20,Sherdil,Srijit Mukherji,"Pankaj Tripathi,Neeraj Kabi,Sayani Gupta",934878.0,"[{'id': 18, 'name': 'Drama'}]",tt15964308,hi,"Inspired by the real events that took place in the Pilibhit Tiger Reserve where people used to leave their elderly family members for tigers to prey on, and then claim compensation from the administration, it is a story of Gangaram, a patriarch of a farmer family entrenched in poverty because of three consecutive failed monsoons. He enters the forests to adopt the infamous Tiger practice to give up his life so that his family can have two square meals, however, what follows next is a series of unprecedented events.",1.851,/aV7kHlayv6kfrhHyi31GCWjj0hz.jpg,2022-06-24,121,Sherdil: The Pilibhit Saga,5.5,2
21,Jugjugg Jeeyo,Raj Mehta,"Anil Kapoor,Neetu Kapoor,Varun Dhawan,Kiara Advani,Prajakta Koli,Manish Paul",765019.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt13449624,hi,"A marriage. A re-marriage. A pending divorce. It's been five years since Kukoo and Nainaa got married after knowing each other practically all their lives, and now they need to break it to their family that they want a divorce. Kukoo's parents, Bheem and Geeta, a couple that everyone looks up to, have no plans of making Kukoo and Naina's lives easier. They have their own plans and set of surprises in store for the young couple; all this in the middle of Kukoo's sister's wedding.",5.625,/ovyWtXhPRKKpSyMUIVYBWiurggY.jpg,2022-06-24,148,JugJugg Jeeyo,5.6,23
22,Forensic,Vishal Furia,"Vikrant Massey,Radhika Apte,Prachi Desai,Rohit Roy",915867.0,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",tt15121860,hi,Little girls begin to disappear and their bodies are found soon after in the town of Mussoorie. Police officer Megha and forensic officer Johnny join hands to nab the killer.,1.827,/bn2sQizEJ0qsntJRvjULsd5vk44.jpg,2022-06-24,129,Forensic,4.8,5
23,Rashtra Kavach Om,Kapil Verma,"Aditya Roy,Sanjana Sanghi",764928.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",tt9115574,hi,"Om, a special forces para commando officer, loses his memory while fighting enemies. After recovering from amnesia, Om is on a mission to save the nation from terrorists. As he fights the challenges the mission presents, he learns a shocking truth about his life.",2.948,/bvU8hIFMQe1OELPjEoydCITjHTN.jpg,2022-07-01,135,Rashtra Kavach Om,5.8,4
24,Khuda Haafiz: Chapter 2 – Agni Pariksha,Faruk Kabir,"Vidyut Jammwal,Shivaleeka Oberoi",965653.0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",tt13022984,hi,"Following a traumatic chapter in their lives, Sameer and Nargis try to lead a happy life by adopting Nandini, a friend's orphaned niece. But fate soon strikes back hard when Nandini goes missing.",4.803,/dWYGHG6yIG8Fh8LwhbGnnaYNYyX.jpg,2022-07-08,146,Khuda Haafiz Chapter 2: Agni Pariksha,6.6,11
25,HIT: The First Case,Shailesh Kolanu,"Rajkummar Rao,Sanya Malhotra",887109.0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",tt13130760,hi,"Burdened by old demons, a troubled but brilliant detective sets out to solve two confounding abduction cases — one involving his own girlfriend.",5.834,/sKcbVK6QgxUjiHOE2xooRXTH0mz.jpg,2022-07-15,136,HIT: The First Case,6.4,16
26,Jaadugar,Sameer Saxena,"Jitendra Kumar,Jaaved Jaaferi,Aarushi Sharma",821119.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt13793230,hi,A small-time magician with zero interest in football must lead his local team to the finals of a tournament if he wishes to marry the love of his life.,3.355,/AmN1EdNRzpwLMzQSPkIFtIVbsxk.jpg,2022-07-15,167,Jaadugar,6.6,17
27,Judaa Hoke Bhi,Vikram Bhatt,"Akshay Oberoi,Aindrita Ray,Meherzan Mazda",988988.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",tt21237108,hi,"Aman Khanna, a once successful singer, is drowning his life into alcohol, despair and self- destruction after his 6 years old son died in a freak accident. Aman's wife, Meera who has an autobiographical bestseller to her credit is trying to cope with their financial burdens and Aman's lack of responsibility.",1.4,/ltbgOdIWarSlIIG2XCeQsLoZaVY.jpg,2022-07-15,114,Judaa Hoke Bhi,0.0,0
28,Shabaash Mithu,Srijit Mukherji,Taapsee Pannu,911154.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",tt6265050,hi,"From child prodigy to trailblazing captain, Indian women's cricket icon Mithali Raj navigates highs and lows of professional career. A story of a young girl's determination and stance against discrimination, about her spirit, passion, courage, and her dreams.",4.346,/s4T4LGIRErWK7bomHFlSJirGZ4T.jpg,2022-07-15,156,Shabaash Mithu,6.3,10
29,RK/RKay,Rajat Kapoor,"Rajat Kapoor,Mallika Sherawat,Kubbra Sait,Ranvir Shorey,Manu Rishi",718739.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",tt14253018,hi,"After wrapping up the shoot of his upcoming period film, in which he also plays the lead character Mehboob, Indie film director-writer RK (Rajat Kapoor) struggles to piece his film together on the editing table. Trouble escalates when he discovers that his lead character has vanished from the film’s footage and entered real life.",1.499,/hggbM9pKqbs6qpKh9jyXGTeBF08.jpg,2021-05-14,95,RK/RKAY,5.0,2
30,Shamshera,Karan Malhotra,"Ranbir Kapoor,Sanjay Dutt,Vaani Kapoor",539686.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]",tt8426926,hi,"Set in the 1800s, the film is about a ""dacoit"" tribe who take charge in fight for their rights and independence against the British.",104.945,/rryN6GhaoovO3sM8IEqGyKgCmXf.jpg,2022-07-22,158,Shamshera,5.5,25
31,Ek Villain Returns,Mohit Suri,"John Abraham,Arjun Kapoor,Disha Patani,Tara Sutaria",682401.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",tt11947158,hi,"When a singer goes missing amid a serial killing spree, a cabbie and a businessman's son cross paths in a twisted tale where good and evil is blurred.",7.474,/amAbP9YbIAlAXHdIon1x8l7aDFT.jpg,2022-07-29,127,Ek Villain Returns,5.3,23
32,Good Luck Jerry,Sidharth Sengupta,Janhvi Kapoor,784940.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",tt13825336,hi,"In dire need of money, Jerry gets drawn into the dangerous world of drug trafficking. Things go awry when she decides to quit.",2.386,/abcG0hQJVwCdloTTTwrY0jfJ1Em.jpg,2022-07-29,118,Good Luck Jerry,5.4,8
33,Odd Couple,Prashant Johari,"Suchitra Krishnamoorthi,Vijay Raaz,Pranati Rai",656999.0,[],tt11024972,hi,A clerical error at the marriage registrar’s office leads to an unexpected twist in the life of four people. Will the two couples manage to come out of this complex relationship mess emotionally unscathed?,0.84,/2pu506In14k4R5V5BjS7It6dxKM.jpg,2022-07-15,117,Odd Couple,8.0,1
34,Darlings,Jasmeet K Reen,"Alia Bhatt,Shefali Shah,Vijay Varma",801526.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",tt14152140,hi,"Badru hopes her volatile husband will reform if he stops drinking. But when his rage goes too far, she and her mom boldly, albeit clumsily, seek revenge.",6.162,/lyA7kXCIAG17hVuvFOxlMmmv31A.jpg,2022-08-05,134,Darlings,7.1,38
35,Laal Singh Chaddha,Advait Chandan,"Aamir Khan,Kareena Kapoor,Naga Chaitanya,Mona Singh",601635.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt10028196,hi,"Events in India's history — from the Emergency and the famous Cricket World Cup win to the Punjab riots — unfold from the perspective of an innocent Sikh man Laal Singh Chaddha, a person with a low IQ but high optimism. Laal is able to achieve everything under the sun but his childhood love continues to elude him.",9.746,/qqBB1tAi345mXMhLwLJpd7LWLRP.jpg,2022-08-11,157,Laal Singh Chaddha,6.6,43
36,Raksha Bandhan,Aanand L. Rai,"Akshay Kumar,Bhumi Pednekar",729700.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",tt12834962,hi,"Lala Kedarnath is blessed with 4 sisters. But his only worry is to find suitable grooms for each of them, as only then can he marry his childhood love. To what lengths will he go to succeed?",4.704,/g2tly6nICUngmNnVH4iRQ75DeDZ.jpg,2022-08-11,110,Raksha Bandhan,7.2,10
37,Dobaaraa,Anurag Kashyap,"Taapsee Pannu,Pavail Gulati",796207.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",tt14042066,hi,"In the 1990s, during a wild thunderstorm night, 12-year-old Anay dies in a road accident shortly after he sees his next-door neighbor committing a crime. Twenty-five years later, in a strange turn of events, on an identical stormy night, Antara finds herself in front of a TV set through which she attempts to save Anay’s life but her good deed causes a disturbing chain of unexpected consequences.",4.087,/l0Ayozn8O69UEjDvXnT5noIgUJp.jpg,2022-08-19,135,Dobaaraa,5.5,14
38,Holy Cow,Sai Kabir,"Sanjay Mishra,Tigmanshu Dhulia,Nawazuddin Siddiqui,Sadiya Siddiqui",988228.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt9795686,hi,"The story of how Salim's cow, Ruksar, goes missing and he starts searching for it at night.",1.429,/4aGHjbHR5wX05GtnlZVEWzkOnJO.jpg,2022-08-26,0,Holy Cow,4.0,2
39,Cuttputlli,Ranjit M Tewari,"Akshay Kumar,Rakul Preet,Chandrachur Singh,Sargun Mehta",956757.0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",tt15315164,hi,"When a small town gets plunged into the nightmare of serial killings, rookie cop Arjan embarks on a chase for the truth and unravels a gruesome conspiracy.",4.161,/gVQweL2bdoTlmrVYbcicZQ5VcNP.jpg,2022-09-02,134,Cuttputlli,6.1,14
40,Brahmāstra: Part One – Shiva,Ayan Mukerji,"Ranbir Kapoor,Amitabh Bachchan,Alia Bhatt,Mouni Roy",496331.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",tt6277462,hi,"The story of Shiva – a young man on the brink of an epic love, with a girl named Isha. But their world is turned upside down when Shiva learns that he has a mysterious connection to the Brahmāstra... and a great power within him that he doesn’t understand just yet - the power of Fire.",26.52,/x61qdvHIsr9U53FwoLVDQqAGur0.jpg,2022-09-08,168,Brahmāstra Part One: Shiva,6.6,119
41,Jahaan Chaar Yaar,Kamal Pandey,"Swara Bhasker,Meher Vij,Pooja Chopra,Shikha Talsania",802793.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt19289040,hi,"Four dedicated housewives - Shivangi, Mansi, Neha, and Sakhina, whose lives revolve only around their husband and family, decide to escape the suffocating routine life by traveling to Goa for a few days to live life on their terms. They have no idea that their vacation will lead to a series of life-changing events.",1.028,/oo5KBgfp8EWzFQGnciNC0RJb2lZ.jpg,2022-09-16,130,Jahaan Chaar Yaar,0.0,0
42,Jogi,Ali Abbas Zafar,"Diljit Dosanjh,Kumud Mishra,Mohammed Zeeshan,Hiten Tejwani,Amyra Dastur",801049.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",tt12862042,hi,"Jogi the match maker and Dimple who seeks help to him to get rid of her marriage, both face the consequences as it is eventually decided that Jogi will marry her to save face.",2.703,/npQpUMeNLOempcA5I6PzNOXvIl8.jpg,2023-05-26,121,Jogira Sara Ra Ra,0.0,0
43,Matto Ki Saikil,M. Gani,Prakash Jha,743202.0,"[{'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",tt13174734,hi,'Matto Ki Saikal' revolves around the story of a family's struggle to buy a new bicycle and how their lives depend on it.,0.64,/jesQxWkdBkv2D5JtvLPTZtpjDEt.jpg,2022-09-16,95,Matto Ki Saikil,0.0,0
44,Middle Class Love,Rantnaa Sinha,"Prit Kamani,Kavya Thapar,Eisha Singh,Manoj Pahwa",1009723.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt21613328,hi,"A young college boy is frustrated being in middle-class family setup and finds love the ideal way to get out of it. However, the path to getting rid of the middle-class thinking and probing parents wasn't so easy as it seemed initially, especially when he thought love would save him.",1.252,/jzznBJtpYrj4dYXGxuYVZySITSA.jpg,2022-09-16,130,Middle Class Love,7.0,1
45,Saroj Ka Rishta,Abhishek Saxena,"Sanah Kapur,Kumud Mishra,Gaurav Pandey,Randeep Rai",1007946.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",tt8690140,hi,A Carefree and Confident Girl (Sanah Kapur) of her area who finds Love in Vikram(Randeep Rai).,1.778,/yj69QqhUlxRYn5HfE3Q4ZN5qw41.jpg,2022-09-16,122,Saroj Ka Rishta,0.0,0
46,Siya,Manish Mundra,"Viineet Kumar,Pooja Pandey,Rashmi Somvanshi",821902.0,"[{'id': 16, 'name': 'Animation'}]",tt13534804,hi,"Born during an age when the demon Ravana terrorized the world, Rama is the virtuous, wise, and powerful prince of Ayohya. As a young man, he is able to accomplish what no other man has ever done: he lifts and strings the bow of Siva, and by so doing her earns the right to marry the beautiful Sita.",0.6,/lWFW7H2w5oVmujMRyWPucOBumgs.jpg,2020-11-14,95,Siyavar Ram,0.0,0
47,Atithi Bhooto Bhava,Hardik Gajjar,"Jackie Shroff,Pratik Gandhi,Sharmin Segal",788944.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt13892718,hi,Srikant's life turns upside down when he bumps into a middle-aged ghost who claims to be his grandson from his previous birth. Things take an even more comical turn when the ghost seeks Srikant's help to meet his long-lost love.,1.951,/7hdFezTGLhBCmhuM34lbXRwegy4.jpg,2022-09-23,113,Atithi Bhooto Bhava,9.0,2
48,Chup: Revenge of the Artist,R Balki,"Sunny Deol,Dulquer Salmaan,Pooja Bhatt,Shreya Dhanwanthary",883125.0,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",tt15654262,hi,"A series of bizarre and disturbing murders rock the city of Mumbai. Film critics are being killed week after week with the release of every new film. Arvind Mathur, Head of Crime Branch Mumbai, is tasked with solving the case. With the help of Zenobia, a criminal psychologist, he tries to understand the mind of the killer to trap him.",4.165,/n3tJMHzqCa3R1CA9lW4n6obJvxJ.jpg,2022-09-23,130,Chup,6.5,17
49,Dhokha: Round D Corner,Kookie Gulati,"Aparshakti Khurana,Darshan Kumar,Khushalii Kumar",1005581.0,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",tt10644708,hi,"When a delusional housewife with a personality disorder is taken hostage by a terrorist on the loose and a husband accused of cheating on his wife have their own versions of reality, how do we know who's saying the truth?",3.238,/mcNf2j9e5iDWAfLr7pS9uusgXx5.jpg,2022-09-22,108,Dhokha: Round D Corner,5.4,9
50,Plan A Plan B,Shashanka Ghosh,"Riteish Deshmukh,Poonam Dhillon,Kusha Kapila",1018220.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",tt15238986,hi,"When an earnest matchmaker moves into an office next to a cynical divorce attorney, their bitter conflict is complicated by a growing attraction.",5.522,/qVZ7aCYKsoP3vca55znw37LQXUl.jpg,2022-09-30,106,Plan A Plan B,6.067,15
51,Vikram Vedha,Pushkar–Gayathri,"Saif Ali,Hrithik Roshan,Radhika Apte",851783.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",tt13131350,hi,"Vikram, an honest officer with the Lucknow police, is on a mission to find and eliminate gangster Vedha. However, when Vedha surrenders himself to the police and starts narrating stories to Vikram, it blurs the lines between good and evil. Vedha questions Vikram's righteousness while the latter believes he is fair and just. But is he?",7.533,/8L4vvIQvO8viLw8wyi2slQmU2sW.jpg,2022-09-30,160,Vikram Vedha,7.3,18
52,Maja Ma,Anand Tiwari,"Madhuri Dixit,Gajraj Rao,Ritwik Bhowmik,Barkha Singh",969797.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",tt19864958,hi,A rumour about a housewife famous for her dancing and cooking threatens to disrupt her middle-class family's life on the eve of her son's engagement.,5.976,/vfzBw0g0zKjyCpcTCEQEfq3gy0d.jpg,2022-10-06,135,Maja Ma,5.6,8
53,Nazar Andaaz,Vikrant Deshmukh,"Kumud Mishra,Divya Dutta,Abhishek Banerjee",1026792.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt22325566,hi,"Sudhir, blind by birth, lives alone with his housemaid Bhavani. While Bhavani is out, he takes in Ali to help around the house. Both Bhavani and Ali grow envious of each other. Nazar Andaaz is a comedic yet heartfelt story of these three.",2.995,/lRu6wDtD6t0qgY1w5eiWrSSoOhx.jpg,2022-10-07,103,Nazar Andaaz,5.5,2
54,Doctor G,Anubhuti Kashyap,"Ayushmann Khurrana,Rakul Preet,Shefali Shah",778625.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt9054970,hi,"Uday Gupta, a medical college student wanted to specialise in Orthopaedic, but is stuck in an all-female class of Gynaecology. Will he change his department, or will the department change him?",5.063,/ojQbYD4pHKBrnxrG0FBdqGCHhlq.jpg,2022-10-14,124,Doctor G,6.9,22
