,Title,Director,Cast,id,genres,imdb_id,original_language,overview,popularity,poster_path,release_date,runtime,title,vote_average,vote_count
340,Drive,Tarun Mansukhani,"Sushant Singh,Jacqueline Fernandez,Vikramjeet Virk,Sapna Pabbi,Boman Irani,Pankaj Tripathi",466550.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",tt6593054,hi,A getaway driver is attracted to a female neighbor whose husband owes money to a local gangster. As a result he is drawn deeper into a dangerous underworld.,12.004,/xz1pOXdut02Qdi6A21hYbopu92Y.jpg,2019-11-01,147,Drive,5.2,51
341,Ujda Chaman,Abhishek Pathak,"Sunny Singh,Maanvi Gagroo,Karishma Sharma,Aishwarya Sakhuja",636449.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt11046300,hi,A balding 30-year-old bachelor in search of a beautiful wife is given a deadline to find one or remain celibate forever.,3.158,/zY2fMkk4VB2bYwAYnHQV5jVUWFo.jpg,2019-11-01,120,Ujda Chaman,6.2,14
342,Bala,Amar Kaushik,"Ayushmann Khurrana,Bhumi Pednekar,Yami Gautam,Saurabh Shukla,Javed Jaffrey,Seema Pahwa",579230.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",tt9420648,hi,A man suffering from alopecia copes with his lack of self-confidence and the societal pressure that comes with being bald.,7.613,/yIDQRD4rPofIodn0b1Md2WyXzSD.jpg,2019-11-07,133,Bala,6.6,55
343,Bypass Road,Naman Nitin Mukesh,"Neil Nitin,Adah Sharma,Shama Sikander,Gul Panag,Rajit Kapur,Sudhanshu Pandey",645370.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt9176260,hi,"The story revolves around a young man, Vikram, who is a fashion prodigy. The story is layered with a murder in town.",1.178,/zPZ3A9BkrZh2HnRtsyn2uHfChDf.jpg,2019-11-08,137,Bypass Road,5.3,7
344,Satellite Shankar,Irfan Kamal,"Sooraj Pancholi,Megha Akash",628566.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",tt9179426,hi,"Indian Army soldier Shankar gets injured in cross-firing at the border. Senior Officer suggests he take 8 days to rest after consultation with doctors. Shankar requests for leave instead of rest, officers agree and tell him to report to duty on the morning of the 8th day. While traveling, he helps citizens and ends up missing his train. Online news reporter covers his story without acknowledging him. The story later revolves around how he reaches his home and then back to duty in a short span of time.",1.104,/tGyHwFAgCGNTqz2VpSlcx6Uyf82.jpg,2019-11-08,130,Satellite Shankar,7.8,6
345,Jhalki,Brahmanand S. Siingh,"Boman Irani,Tannishtha Chatterjee,Divya Dutta,Sanjay Suri,Yatin Karyekar,Akhilendra Mishra,Govind Namdev,Joy Sengupta",619061.0,"[{'id': 18, 'name': 'Drama'}]",tt7743400,hi,"A lyrical story of lost childhood, against the powerful backdrop of child slavery and human trafficking. It is a heart-rending but inspiring story of a nine-year old street-smart girl, Jhalki, in search of her seven-year old brother, Babu, who is suddenly thrown into an inhuman world of child labor with no respite from a terminally gloomy, dark and depressing workplace. Armed with an intimate folk tale of a tireless sparrow, her own ingenious efforts and her charming presence of mind, Jhalki manages her search and eventually free her brother, along with thousands of other enslaved children caught in this insidious practice, affecting over 200 million children worldwide.",1.4,/nxtRjtJXarnmzKckmp92k3ydRxb.jpg,2019-09-27,105,Jhalki,7.2,4
346,House Arrest,Shashanka Ghosh and Samit Basu,"Ali Fazal,Shriya Pilgaonkar,Jim Sarbh",645998.0,"[{'id': 35, 'name': 'Comedy'}]",tt11163028,hi,A world-weary man’s self-imposed home confinement becomes a comedy of errors with the simultaneous arrivals of a peculiar package and a curious journalist.,1.573,/7nOW9lqY29iomfDlTmvGoW5adqz.jpg,2019-11-15,104,House Arrest,6.6,13
347,Marjaavaan,Milap Milan Zaveri,"Sidharth Malhotra,Riteish Deshmukh,Tara Sutaria,Rakul Preet",627715.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 28, 'name': 'Action'}]",tt9248934,hi,Raghu and Zoya are enjoying their lives together until a gang leader with harmful intentions turns their world upside down.,6.521,/s8x7wDJ8pbSswM9w539Y7U04TMK.jpg,2019-11-15,133,Marjaavaan,7.6,24
348,Motichoor Chaknachoor,Debamitra Biswal,"Nawazuddin Siddiqui,Athiya Shetty",643438.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",tt9172840,hi,A woman whose single purpose in life is to marry a foreign-settled groom decides to marry a 36-year-old Dubai-returned professional who is desperate for a bride.,2.95,/9viHDkVC1Xl08jmau6ikudz7eH8.jpg,2019-11-15,150,Motichoor Chaknachoor,6.2,20
349,Pagalpanti,Anees Bazmee,"Anil Kapoor,John Abraham,Arshad Warsi,Pulkit Samrat,Kriti Kharbanda,Urvashi Rautela,Saurabh Shukla",649487.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]",tt9495690,hi,"3 men, considered as losers in their lives by the people, plan to get rich along with their girlfriends by fooling 2 gangsters and robbing their money.",8.949,/ogGZHdBSc0KrzRin6viVXh7kira.jpg,2019-11-22,149,Pagalpanti,5.2,13
350,Commando 3,Aditya Datt,"Vidyut Jammwal,Adah Sharma,Angira Dhar,Gulshan Devaiah",606599.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",tt8983168,hi,A mysterious man is on an impending mission to attack the country from his base in London. Karan Singh Dogra sets out to hunt down the antagonist aided by the British Intelligence.,3.148,/ukxAjRADLYxUhCzg4KNhXux5BMH.jpg,2019-11-28,133,Commando 3,6.8,14
351,Yeh Saali Aashiqui,Cherag Ruparel,"Vardhan Puri,Shivaleeka Oberoi",646173.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",tt10443846,hi,"When Sahil met Mittee in a hotel management school, it was love at first sight for both of them. Their love was everything - picture perfect and flawless. But an unlikely event at school turns their dream-come-true romance into a nightmare and makes them realize how important it is to know your partner thoroughly before getting into any kind of romantic relationship.",1.822,/z83KrUMwgXPZM442lhl0Mth0pPk.jpg,2019-11-29,127,Yeh Saali Aashiqui,8.8,7
352,Panipat,Ashutosh Gowariker,"Sanjay Dutt,Arjun Kapoor,Kriti Sanon,Mohnish Bahl",577332.0,"[{'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}, {'id': 10749, 'name': 'Romance'}]",tt8176040,hi,"During 18th century India, the Marathas emerged as the most powerful empire in the nation until the Afghan King Ahmad Shah Abdali plans to take over India. Sadashiv Rao Bhau is brought in to save the empire from the king which then leads to the third battle of Panipat.",5.004,/bI8a2UtcDqgfvDwrc0PuOS7wFtx.jpg,2019-12-06,171,Panipat,6.4,26
353,Pati Patni Aur Woh,Mudassar Aziz,"Kartik Aaryan,Bhumi Pednekar,Ananya Panday",590350.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",tt9680136,hi,"Chintu Tyagi is an ordinary, middle-class man who finds himself torn between his wife and another woman.",5.128,/pxaMObmlFwOknDRu3a5dlyQnO31.jpg,2019-12-06,125,Pati Patni Aur Woh,6.9,24
354,Mardaani 2,Gopi Puthran,"Rani Mukerji,Vikram Singh,Shruti Bapna,Rajesh Sharma,Sudhanshu Pandey",591101.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",tt5668770,hi,Officer Shivani Shivaji Roy is stationed at Kota where she goes against a ferocious serial killer who rapes and murders women.,6.118,/9Fk6SzvqFuPMGCfnkUSDANtOxVD.jpg,2019-12-12,103,Mardaani 2,7.1,56
355,The Body,Jeethu Joseph,"Emraan Hashmi,Rishi Kapoor,Sobhita Dhulipala",648316.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",tt8130904,hi,"When the body of a powerful businesswoman goes missing from the morgue, the inspector-in-charge hunts for the truth. When he questions her husband he realizes that there is much more to the case than meets the eye.",2.74,/ceEmtlyvbJh1khLpSkPUKAmpPA7.jpg,2019-12-13,104,The Body,5.3,28
356,Dabangg 3,Prabhu Deva,"Salman Khan,Sonakshi Sinha,Saiee Manjrekar,Arbaaz Khan",496339.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",tt7059844,hi,"Chulbul this time has to take on a criminal named Balli Singh, who has disrupted other people's lives with his annoying antics.",4.865,/ruuZcKbvrHU4lMR7ye59mZLIJkG.jpg,2019-12-20,150,Dabangg 3,5.7,44
357,Happi,Bhavna Talwar,"Pankaj Kapoor,Supriya Pathak,Hrishitaa Bhatt",657955.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt1285301,hi,"Happi is a comedy drama that tells the amazing story of survival of a social misfit set in Mumbai. The film is all about a man, who is content with what he earns as his needs are few and thus, he is comfortable being a misfit. He earns by making people laugh as well as by singing at Cafe Bombay.",0.6,/svyiLVtzVcanH8T3pVyaR7kp9Qi.jpg,2019-12-25,135,Happi,8.0,1
358,Good Newwz,Raj Mehta,"Akshay Kumar,Kareena Kapoor,Diljit Dosanjh,Kiara Advani",643534.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",tt8504014,hi,Two couples with the same surnames pursue in-vitro fertilisation and wait for their upcoming babies. Trouble ensues when they find that the sperms of each couple have been mixed with each other.,7.033,/1YWp8MdXZAZvXgnWyv2RgMaG3Ps.jpg,2019-12-27,132,Good Newwz,7.0,64
359,1921,Vikram Bhatt,"Zareen Khan, Karan Kundra, Tobby Hinston, Sonia Armstrong",492181.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",tt6958030,hi,"When Ayush arrives in England to learn music, he is shocked and scared when the manor he is living in becomes haunted by spirits. To exorcise them, he seeks the help of Rose, a woman who can see and speak with them.",3.315,/lEOwlojOgtbfdFrMANVwVohOqyY.jpg,2018-01-12,144,1921,5.7,13
360,Kaalakaandi,Akshat Verma,"Saif Ali Khan, Isha Talwar, Shenaz Treasury, Akshay Oberoi, Vijay Raaz, Deepak Dobriyal, Sobhita Dhulipala, Kunaal Roy Kapur, Nary Singh",468469.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",tt6102396,hi,"Unfolding through a course of a night in Mumbai, Kaalakaandi showcases three parallel tracks — a man who discovers he has terminal illness decides to let go of his principles and live a little; a woman involved in a hit-and-run seeks redemption and two goons must decide if they can trust each other.",2.292,/osCsDcfTUVcecKwAoQWPYVLSLqv.jpg,2018-01-12,112,Kaalakaandi,6.7,23
